"Category","Annual Mean","5-yr smooth"
1901,6.69,6.72
1902,6.77,6.67
1903,6.58,6.62
1904,6.56,6.58
1905,6.48,6.55
1906,6.54,6.52
1907,6.55,6.51
1908,6.58,6.5
1909,6.61,6.49
1910,6.32,6.5
1911,6.41,6.5
1912,6.4,6.5
1913,6.39,6.5
1914,6.88,6.5
1915,6.6,6.5
1916,6.53,6.52
1917,6.39,6.54
1918,6.42,6.57
1919,6.68,6.62
1920,6.63,6.66
1921,6.7,6.71
1922,6.82,6.75
1923,6.84,6.79
1924,6.79,6.81
1925,6.77,6.83
1926,6.88,6.83
1927,6.83,6.83
1928,6.81,6.81
1929,6.66,6.78
1930,6.73,6.75
1931,6.68,6.73
1932,7.01,6.72
1933,6.84,6.72
1934,6.59,6.74
1935,6.94,6.78
1936,6.4,6.83
1937,6.68,6.88
1938,7.05,6.93
1939,7.11,6.98
1940,7.08,7.03
1941,7.39,7.07
1942,7.18,7.1
1943,7.08,7.11
1944,6.73,7.12
1945,6.92,7.11
1946,7.42,7.09
1947,6.81,7.05
1948,7.2,6.99
1949,6.94,6.91
1950,6.66,6.82
1951,6.74,6.73
1952,6.57,6.65
1953,7.07,6.59
1954,6.39,6.57
1955,6.78,6.59
1956,6.27,6.64
1957,6.34,6.7
1958,7,6.75
1959,6.94,6.8
1960,6.77,6.82
1961,7,6.82
1962,6.68,6.8
1963,6.93,6.77
1964,6.59,6.73
1965,6.66,6.68
1966,6.81,6.63
1967,6.35,6.58
1968,6.6,6.55
1969,6.35,6.54
1970,6.46,6.55
1971,6.78,6.59
1972,6.72,6.65
1973,7.08,6.72
1974,6.61,6.79
1975,7.06,6.84
1976,6.39,6.88
1977,6.78,6.91
1978,7.03,6.92
1979,7.06,6.93
1980,6.9,6.92
1981,6.97,6.91
1982,7.15,6.9
1983,6.92,6.89
1984,6.51,6.89
1985,6.74,6.91
1986,6.85,6.94
1987,7.19,7
1988,7.24,7.06
1989,7.23,7.11
1990,7.49,7.16
1991,7.09,7.19
1992,6.82,7.21
1993,6.89,7.21
1994,7.49,7.22
1995,7.25,7.23
1996,6.9,7.27
1997,7.3,7.32
1998,7.99,7.39
1999,7.79,7.47
2000,7.23,7.55
2001,7.61,7.64
2002,7.81,7.71
2003,7.52,7.78
2004,7.75,7.82
2005,7.48,7.84
2006,8,7.83
2007,8.18,7.78
2008,7.62,7.7
2009,7.81,7.62
2010,7.58,7.55
2011,7.39,7.51
2012,7.08,7.52
2013,7.74,7.58
2014,7.73,7.68
2015,7.97,7.78
2016,7.93,7.89
2017,8.12,7.97
2018,7.77,8.02
2019,8.01,8.05
2020,7.9,8.07
2021,8.21,8.06
2022,8.1,8.06
